"",gene_symbol,GSM4432626,GSM4432627,GSM4432628,GSM4432629,GSM4432630,GSM4432631,GSM4432632,GSM4432633,GSM4432634
ENSG00000000003,TSPAN6,14,2,2,0,1,0,1,1,3
ENSG00000000005,TNMD,0,0,0,0,0,0,0,0,0
ENSG00000000419,DPM1,1150,361,298,961,689,384,419,417,433
ENSG00000000457,SCYL3,428,88,125,260,159,106,52,73,106
ENSG00000000460,C1orf112,178,25,64,117,125,31,16,23,47
ENSG00000000938,FGR,8478,1902,4143,9348,7086,4777,1853,2003,3136
ENSG00000000971,CFH,126,35,40,6,62,13,5,11,23
ENSG00000001036,FUCA2,439,64,165,340,306,100,70,57,113
ENSG00000001084,GCLC,610,145,292,725,1380,256,255,115,292
ENSG00000001167,NFYA,790,157,257,1024,495,427,199,145,270
ENSG00000001460,STPG1,150,49,49,33,39,27,11,16,39
ENSG00000001461,NIPAL3,922,259,260,175,307,200,122,112,384
ENSG00000001497,LAS1L,583,113,262,112,210,122,57,24,190
ENSG00000001561,ENPP4,584,147,186,189,149,141,47,88,109
ENSG00000001617,SEMA3F,3,0,2,21,9,1,0,0,0
ENSG00000001626,CFTR,30,11,26,1,10,6,3,3,4
ENSG00000001629,ANKIB1,1481,226,418,364,603,227,255,143,357
ENSG00000001630,CYP51A1,763,102,264,347,169,172,151,102,225
ENSG00000001631,KRIT1,2,0,0,3,1,2,0,1,1
ENSG00000002016,RAD52,158,32,69,59,66,38,16,7,49
ENSG00000002330,BAD,258,152,187,273,201,125,63,107,90
ENSG00000002549,LAP3,1008,359,1947,2572,1917,533,522,203,777
ENSG00000002586,CD99,3295,1342,2504,772,995,1072,212,763,1135
ENSG00000002587,HS3ST1,12,1,2,6,6,2,0,2,5
ENSG00000002726,AOC1,11,0,13,4,4,6,3,0,7
ENSG00000002745,WNT16,4,1,12,4,4,0,0,0,6
ENSG00000002746,HECW1,0,1,0,3,0,0,0,0,0
ENSG00000002822,MAD1L1,623,165,280,295,284,163,88,35,205
ENSG00000002834,LASP1,13865,2557,4182,9376,7762,6487,4428,1763,4347
ENSG00000002919,SNX11,578,191,260,708,460,309,115,136,153
ENSG00000002933,TMEM176A,96,1,43,3,89,22,27,2,11
ENSG00000003056,M6PR,2585,502,817,981,1122,223,279,318,647
ENSG00000003096,KLHL13,1,0,0,0,0,0,0,0,0
ENSG00000003137,CYP26B1,0,0,0,1,0,0,0,0,0
ENSG00000003147,ICA1,73,8,20,56,62,27,27,11,16
ENSG00000003249,DBNDD1,99,28,26,11,5,3,1,4,15
ENSG00000003393,ALS2,277,44,62,91,93,42,39,13,80
ENSG00000003400,CASP10,877,198,390,624,537,329,191,110,422
